,sample_size_method,num_trees,max_depth,feat_choice,auc_mean
0,full,300,100,2sqrt,0.7428759902354886
1,full,300,500,2sqrt,0.7428759902354886
2,full,300,1000,2sqrt,0.7428759902354886
3,full,300,3000,2sqrt,0.7428759902354886
4,full,100,1000,2sqrt,0.7348720617611235
5,full,100,100,2sqrt,0.7348720617611235
6,full,100,500,2sqrt,0.7348720617611235
7,full,100,3000,2sqrt,0.7348720617611235
8,half,300,3000,2sqrt,0.7278415867895165
9,half,300,1000,2sqrt,0.7278415867895165
10,half,300,500,2sqrt,0.7278415867895165
11,half,300,100,2sqrt,0.7278415867895165
12,full,50,100,2sqrt,0.7236096606719606
13,full,50,1000,2sqrt,0.7236096606719606
14,full,50,500,2sqrt,0.7236096606719606
15,full,50,3000,2sqrt,0.7236096606719606
16,half,100,100,2sqrt,0.7121961989801406
17,half,100,500,2sqrt,0.7121961989801406
18,half,100,3000,2sqrt,0.7121961989801406
19,half,100,1000,2sqrt,0.7121961989801406
20,full,300,3000,sqrt,0.7116667627957861
21,full,300,100,sqrt,0.7116667627957861
22,full,300,500,sqrt,0.7116667627957861
23,full,300,1000,sqrt,0.7116667627957861
24,full,100,1000,sqrt,0.7032998264982586
25,full,100,3000,sqrt,0.7032998264982586
26,full,100,500,sqrt,0.7032998264982586
27,full,100,100,sqrt,0.7032998264982586
28,half,300,500,sqrt,0.7008841219427537
29,half,300,1000,sqrt,0.7008841219427537
30,half,300,3000,sqrt,0.7008841219427537
31,half,300,100,sqrt,0.7008841219427537
32,full,50,1000,sqrt,0.6983450081962956
33,full,50,100,sqrt,0.6983450081962956
34,full,50,3000,sqrt,0.6983450081962956
35,full,50,500,sqrt,0.6983450081962956
36,half,50,100,2sqrt,0.6969827821777828
37,half,50,500,2sqrt,0.6969827821777828
38,half,50,1000,2sqrt,0.6969827821777828
39,half,50,3000,2sqrt,0.6969827821777828
40,half,100,3000,sqrt,0.6892181981422423
41,half,100,1000,sqrt,0.6892181981422423
42,half,100,500,sqrt,0.6892181981422423
43,half,100,100,sqrt,0.6892181981422423
44,sqrt,300,3000,2sqrt,0.6858135804228469
45,sqrt,300,1000,2sqrt,0.6858135804228469
46,sqrt,300,500,2sqrt,0.6858135804228469
47,sqrt,300,100,2sqrt,0.6858135804228469
48,half,50,500,sqrt,0.6838944589148765
49,half,50,3000,sqrt,0.6838944589148765
50,half,50,1000,sqrt,0.6838944589148765
51,half,50,100,sqrt,0.6838944589148765
52,full,300,500,half_sqrt,0.671465794530733
53,full,300,3000,half_sqrt,0.671465794530733
54,full,300,100,half_sqrt,0.671465794530733
55,full,300,1000,half_sqrt,0.671465794530733
56,full,100,100,half_sqrt,0.6682700089885374
57,full,100,500,half_sqrt,0.6682700089885374
58,full,100,3000,half_sqrt,0.6682700089885374
59,full,100,1000,half_sqrt,0.6682700089885374
60,half,300,3000,half_sqrt,0.6643723167644106
61,half,300,1000,half_sqrt,0.6643723167644106
62,half,300,500,half_sqrt,0.6643723167644106
63,half,300,100,half_sqrt,0.6643723167644106
64,sqrt,300,100,sqrt,0.6628898194204395
65,sqrt,300,1000,sqrt,0.6628898194204395
66,sqrt,300,500,sqrt,0.6628898194204395
67,sqrt,300,3000,sqrt,0.6628898194204395
68,sqrt,100,3000,sqrt,0.6584721827363623
69,sqrt,100,1000,sqrt,0.6584721827363623
70,sqrt,100,500,sqrt,0.6584721827363623
71,sqrt,100,100,sqrt,0.6584721827363623
72,sqrt,100,100,2sqrt,0.654078648809107
73,sqrt,100,3000,2sqrt,0.654078648809107
74,sqrt,100,1000,2sqrt,0.654078648809107
75,sqrt,100,500,2sqrt,0.654078648809107
76,half,100,1000,half_sqrt,0.6506753734857824
77,half,100,100,half_sqrt,0.6506753734857824
78,half,100,500,half_sqrt,0.6506753734857824
79,half,100,3000,half_sqrt,0.6506753734857824
80,full,50,1000,half_sqrt,0.640749684886183
81,full,50,500,half_sqrt,0.640749684886183
82,full,50,100,half_sqrt,0.640749684886183
83,full,50,3000,half_sqrt,0.640749684886183
84,sqrt,50,3000,2sqrt,0.6366986547081032
85,sqrt,50,1000,2sqrt,0.6366986547081032
86,sqrt,50,500,2sqrt,0.6366986547081032
87,sqrt,50,100,2sqrt,0.6366986547081032
88,sqrt,300,3000,half_sqrt,0.6310391708304894
89,sqrt,300,1000,half_sqrt,0.6310391708304894
90,sqrt,300,100,half_sqrt,0.6310391708304894
91,sqrt,300,500,half_sqrt,0.6310391708304894
92,half,50,500,half_sqrt,0.62883520376325
93,half,50,3000,half_sqrt,0.62883520376325
94,half,50,1000,half_sqrt,0.62883520376325
95,half,50,100,half_sqrt,0.62883520376325
96,sqrt,50,100,sqrt,0.6278333724603126
97,sqrt,50,500,sqrt,0.6278333724603126
98,sqrt,50,1000,sqrt,0.6278333724603126
99,sqrt,50,3000,sqrt,0.6278333724603126
100,sqrt,100,500,half_sqrt,0.6209670607861708
101,sqrt,100,3000,half_sqrt,0.6209670607861708
102,sqrt,100,1000,half_sqrt,0.6209670607861708
103,sqrt,100,100,half_sqrt,0.6209670607861708
104,sqrt,50,3000,half_sqrt,0.5973510864472266
105,sqrt,50,1000,half_sqrt,0.5973510864472266
106,sqrt,50,500,half_sqrt,0.5973510864472266
107,sqrt,50,100,half_sqrt,0.5973510864472266
